Partida,Urea,Pollinaza,Harinolina,Yeso,Nit Teorico,Total BS,TON Pollo BH,m3 Vuelta 1,m3 Vuelta 2,m3 Vuelta 3,Humedad Final,m3 Vuelta 4,% Humedad Vueltas,BH LL1,BS LL1,Humedad LL1,BH LL2,BS LL2,m3 Ton LL2,BH LL3,BS LL3,m3 Ton LL3
CXM-20234405-4,600,39240,3000,10148.33,1.75,144956,39.24,1.33,1.15,0.81,66.53,0.47,73.05,505000,136098,73.05,470000,126900,0.34,415000,112050,0.15
CXM-20234405-5,600,39240,3000,10148.33,1.75,144956,39.24,1.33,1.15,0.81,66.46,0.47,73.05,505000,136098,73.05,470000,126900,0.34,415000,112050,0.15
CXM-20234405-6,600,39240,3000,10148.33,1.75,144956,39.24,1.33,1.15,0.81,66.66,0.47,73.05,505000,136098,73.05,470000,126900,0.34,415000,112050,0.15
CXM-20234504-1,600,48920,0,10756.3,1.75,152683,48.92,1.14,1.15,0.8,66.86,0.21,74.6,525000,133350,74.6,480000,129600,0.26,423000,114210,0.28
CXM-20234504-2,600,48920,0,10756.3,1.75,152683,48.92,1.14,1.15,0.8,66.6,0.21,74.6,525000,133350,74.6,480000,129600,0.26,423000,114210,0.28
CXM-20234504-3,600,48920,0,10756.3,1.75,152683,48.92,1.14,1.15,0.8,67.06,0.21,74.6,525000,133350,74.6,480000,129600,0.26,423000,114210,0.28
CXM-20234505-4,600,38000,3000,10203.6,1.7,144445,38,1.23,1.27,1.02,67.26,0.47,73.45,515000,136733,73.45,480000,129600,0.26,420000,113400,0.36
CXM-20234505-5,600,38000,3000,10203.6,1.7,144445,38,1.23,1.27,1.02,66.73,0.47,73.45,515000,136733,73.45,480000,129600,0.26,420000,113400,0.36
CXM-20234505-6,600,38000,3000,10203.6,1.7,144445,38,1.23,1.27,1.02,66.99,0.47,73.45,515000,136733,73.45,480000,129600,0.26,420000,113400,0.36
CXM-20234601-10,600,47950,0,10501.2,1.75,150115,47.95,1.31,1.1,0.88,66.26,0.42,74.2,525000,135450,74.2,480000,129600,0.26,425000,114750,0.33
CXM-20234601-11,600,47950,0,10501.2,1.75,150115,47.95,1.31,1.1,0.88,66.13,0.42,74.2,525000,135450,74.2,480000,129600,0.26,425000,114750,0.33
CXM-20234601-12,600,47950,0,10501.2,1.75,150115,47.95,1.31,1.1,0.88,66,0.42,74.2,525000,135450,74.2,480000,129600,0.26,425000,114750,0.33
